MGI_ID	strainName	strainType
MGI:3665260	129-Gt(ROSA)26Sor<tm2(CAG-Dsred2/EGFP)Luo>/J	Not Specified
MGI:3665259	129-Gt(ROSA)26Sor<tm3(CAG-EGFP/Dsred2)Luo>/J	Not Specified
MGI:3711355	129-Hey2<tm2Eno>	coisogenic
MGI:3051110	129-Hfe<tm1.1Nca>/J	coisogenic
MGI:5569000	129-Hnf1b<tm1Sce>/Cnrm	coisogenic
MGI:5575501	(129-Hprt<b-m3> x C57BL/6)F1	Not Applicable
MGI:5490223	129-Htr1b<tm1Rhn>/Cnrm	coisogenic
MGI:4452250	129-Htr1b<tm1Rhn>/Mmnc	Not Specified
MGI:6108353	129-Hyal3<tm1Btr>	coisogenic
MGI:5584126	129-Ifnar1<tm1Agt>/Apb	coisogenic
MGI:5584138	129-Ifngr1<tm1Agt>/Apb	coisogenic
MGI:5584125	129-Ifngr1<tm1Agt> Ifnar1<tm1Agt>/Apb	coisogenic
MGI:2165098	129-Ifngr1<tm1Agt>/J	coisogenic
MGI:2162178	129-Ighd<tm1Cgn>/J	coisogenic
MGI:3575631	129-Igh<tm3.1Cog>/Orl	coisogenic
MGI:2163250	129-Igll1<tm1Cgn>/J	coisogenic
MGI:2174085	129-Ihh<tm1Amc>/J	coisogenic
MGI:3040063	129-Il1rl1<tm1Brl>/ZbzCnrm	coisogenic
MGI:5577259	129-Iqgap1<tm1Aber>/VsJ	coisogenic
MGI:2174086	129-Itgb5<tm1Des>/J	coisogenic
MGI:3801435	129-Kat2a<tm1Roth>/Kat2a<tm3Roth>	Not Specified
MGI:2174333	129-Kcne1<tm1Sfh>/J	coisogenic
MGI:3629390	129-Kcnma1<tm1Ruth>	coisogenic
MGI:5575499	129-Kif18a<tm1Zgwg>	coisogenic
MGI:2163653	129-Kras<tm1Tyj>/J	coisogenic
MGI:5049866	129-Lepr<tm1.1Rll>	coisogenic
MGI:2182157	129-Lta4h<tm1Bhk>/J	coisogenic
MGI:4833969	129-M6pr<tm1Psa>/Cnrm	Not Specified
MGI:5429686	129-Maoa<K284stop>/J	coisogenic
MGI:5504453	129-Map2k1<tm1.1Bacc>	coisogenic
MGI:5308746	129-Mcm2<tm1(cre/ERT2)Scpr>/J	coisogenic
MGI:5308747	129-Mcm2<tm2Scpr>/J	coisogenic
MGI:3618489	129-Mdm2<tm1Mep>/Nci	coisogenic
MGI:5297109	129-Men1<tm1Zqw>/Orl	coisogenic
MGI:5494637	129-Mirc14<tm1.1Czc>/J	Not Applicable
MGI:2447491	129/Ml	inbred strain
MGI:4452117	129-Myh7<tm1Unc>/Mmnc	Not Specified
MGI:3716475	129-Ncf1<tm1Hbd>/H	congenic
MGI:4887567	129-Nespas<tm1Jop>/H	coisogenic
MGI:3618484	129-Nf1<tm1Fcr>/Nci	coisogenic
MGI:3629193	129-Nme1<tm1Jyd>	coisogenic
MGI:5446789	129-Nphs2<tm1Antc>	coisogenic
MGI:2178777	129-Npr1<tm1Gar>/J	coisogenic
MGI:4836583	129-Nr1h3<tm1Djm>/J	coisogenic
MGI:5468715	129-Nrarp<tm1Grid>/J	coisogenic
MGI:2164588	129-Ntf5<tm1Jae>/J	coisogenic
MGI:2162790	129/Orl	inbred strain
MGI:4833980	129-Otx1<tm1Asim>/Orl	coisogenic
MGI:2671646	129P1	inbred strain
MGI:2164885	129P1/Re	inbred strain
MGI:2160028	129P1/ReJ	inbred strain
MGI:2161252	129P1/ReJ-Cacna1s<mdg>	congenic
MGI:2163622	129P1/ReJLacFib	inbred strain
MGI:2162487	129P1/ReJ-Lama2<dy>/J	coisogenic
MGI:2164912	129P1/Re-Lama2<dy>	coisogenic
MGI:2669356	129P1/ReWl	inbred strain
MGI:5441512	129P2.129S7-Csk<tm1Sor>	congenic
MGI:3037887	129P2.129-Tfap2b<tm1Rbu>	congenic
MGI:2165229	129P2(B6)-B2m<tm1Unc>/Dcr	congenic
MGI:3604859	129P2.Cg-Ptgir<tm1Sna> Tbxa2r<tm1Cof>	congenic
MGI:6121781	129P2.Cg-Tg(TetO-Gal)82Wyn/WynH	congenic
MGI:3641314	129P2-Gal<tm1Wyn>	coisogenic
MGI:2160930	129P2/Ola	inbred strain
MGI:2164147	129P2/OlaHsd	inbred strain
MGI:4352729	129P2/OlaHsd-Aifm1<tm1Pngr>	coisogenic
MGI:4360750	129P2/OlaHsd-Apc<tm2Rfo>	coisogenic
MGI:3809980	129P2/OlaHsd-Apobec3<Gt(XN450)Byg>	coisogenic
MGI:4843195	129P2/OlaHsd-Apobec3<Gt(XN450)Byg>/Mmucd	coisogenic
MGI:4948546	129P2/OlaHsd-Aprt<tm1Dwm>	coisogenic
MGI:5749255	129P2/OlaHsd-Cep290<Gt(CC0582)Wtsi>	coisogenic
MGI:3845826	129P2/OlaHsd-Dbp<tm1Schb>	coisogenic
MGI:5699097	129P2/OlaHsd-Dnajb9<Gt(KST256)Byg>	coisogenic
MGI:3623732	129P2/OlaHsd-Eng<tm1Hma>	coisogenic
MGI:3629031	129P2/OlaHsd-Eng<tm1Mle>	coisogenic
MGI:4887561	129P2/OlaHsd-Fbxl3<Gt(CB0226)Wtsi>/H	coisogenic
MGI:6121780	129P2/OlaHsd-Gal<tm1Wyn>/WynH	coisogenic
MGI:3706233	129P2/OlaHsd-Hprt<b-m3>	coisogenic
MGI:3704879	129P2/OlaHsd-Itgb1<tm1Son>	coisogenic
MGI:3704880	129P2/OlaHsd-Itgb1<tm2Son>	coisogenic
MGI:3836466	129P2/OlaHsd-Itgb4<tm1Son>	coisogenic
MGI:3698140	129P2/OlaHsd-Jmjd6<Gt(RRJ099)Byg>	coisogenic
MGI:5766637	129P2/OlaHsd-Kras<tm1Epa>	coisogenic
MGI:4887581	129P2/OlaHsd-Map3k1<Gt(YTC001)Byg>/H	coisogenic
MGI:4887393	129P2/OlaHsd-Mkrn1<Gt(RRB087)Byg>/H	coisogenic
MGI:3719903	129P2/OlaHsd-Mtap<Gt(RRK081)Byg>	coisogenic
MGI:3771592	129P2/OlaHsd-Nat2<tm1Esim>	coisogenic
MGI:5767212	129P2/OlaHsd-Prnd<tm1Dwm>	coisogenic
MGI:5767213	129P2/OlaHsd-Prnp/Prnd<tm1Dwm>	coisogenic
MGI:2177453	129P2/OlaHsd-Prnp<tm1Edin>	coisogenic
MGI:2177454	129P2/OlaHsd-Prnp<tm1Rcm>	coisogenic
MGI:5477801	129P2/OlaHsd-Prnp<tm2Edin>	coisogenic
MGI:5298017	129P2/OlaHsd-Prnp<tm2Edin>/H	coisogenic
MGI:5317156	129P2/OlaHsd-Rab18<Gt(EUCE0233a03)Hmgu>/H	coisogenic
MGI:3695036	129P2/OlaHsd-Ranbp2<Gt(pGT0pfs)630Wcs>	coisogenic
MGI:3665226	129P2/OlaHsd-S100g<del1>	coisogenic
MGI:4418345	129P2/OlaHsd-Sdhd<tm1Jpb>	coisogenic
MGI:3776871	129P2/OlaHsd-Tcf3<tm1Cmu>	coisogenic
MGI:4887566	129P2/OlaHsd-Tpcn1<Gt(XG716)Byg>/H	coisogenic
MGI:4887396	129P2/OlaHsd-Tpcn2<Gt(YHD437)Byg>/H	coisogenic
MGI:3804047	129P2/OlaHsd-Wt1<tm1Mlh>	coisogenic
MGI:5560458	129P2/OlaHsd-Wt1<tm1Mlh>/H	coisogenic
MGI:3611488	129P2/OlaHsd-Wt1<tm2Hst>	coisogenic
MGI:5466400	129P2/OlaHsdWtsi	inbred strain
MGI:2671648	129P3	inbred strain
MGI:5567988	129P3.B6-Tas1r3<Sac-b>/MonMmnc	congenic
MGI:3046906	129P3.Cg-Alppl2<tm1Jlm>	congenic
MGI:2661783	129P3/J	inbred strain
MGI:5425674	129P3/J-Chr 1<C57BL/6ByJ>/MonMmjax	consomic
MGI:5504474	129P3/J-Chr 2<C57BL/6ByJ>/Mon	consomic
MGI:5425675	129P3/J-Chr 2<C57BL/6ByJ>/MonMmjax	consomic
MGI:5425680	129P3/J-Chr 7<C57BL/6ByJ>/MonMmjax	consomic
MGI:5425681	129P3/J-Chr 9<C57BL/6ByJ>/MonMmjax	consomic
MGI:2165174	129P3/JEmsJ	inbred strain
MGI:2669364	129P3/JGa	inbred strain
